tags	Tag1	Tag2	Tag3	Tag4	Tag5	duedate	starttime	duration	alertprior	priority	status	assignedto	sequence	title	description	outcome	webpage	recursunit	recursevery	recursdayofweek	recurswithinmonth	duedateymd	type	length	lastmod	lastmoddateymd	linkedtags
New Feature	New Feature					03/28/2004	00:00 AM	N/A	N/A	3	9		1.5	Ability to Merge Two Files		Added an import function that will open an existing file and add its contents to the current list of items. File names ending in .htm or .html will be recognized as HTML files, and will be treated as bookmark files, for the purpose of importing. Files with other extensions will be treated as standard Two Due tab-delimited files.		N/A	0	-1	-1	2004-03-28	Action	0	 	 	<a href='tags/new-feature.html' rel='tag'>New Feature</a>
Minor Enhancement	Minor Enhancement					 	00:00 AM	N/A	N/A	3	0			Detect Modified File Before Save			http://NA	N/A	0	-1	-1	 	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
New Feature	New Feature					06/08/2004	00:00 AM	N/A	N/A	3	9		1.6	Make List View Dynamic	Make the columns on the List Tab match the columns the user specified for sorting on the View Tab.	Columns on the List View are now dynamic, depending on which columns are in use when a file is opened, depending on the sort sequence for the view, and depending on the size of the application window.		N/A	0	-1	-1	2004-06-08	Action	0	 	 	<a href='tags/new-feature.html' rel='tag'>New Feature</a>
Concern	Concern					 	00:00 AM	N/A	N/A	4	0			Which way does priority sort? Is 1 more	Which way does priority sort? Is 1 more important than 5, or vice-versa? Clarify for user.		http://NA	N/A	0	-1	-1	 	Action	0	 	 	<a href='tags/concern.html' rel='tag'>Concern</a>
Minor Enhancement	Minor Enhancement					 	00:00 AM	N/A	N/A	5	0			Have Assigned To default to last value	Have Assigned To default to last value, or most common value.		http://NA	N/A	0	-1	-1	 	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
Bug Fix	Bug Fix					 	00:00 AM	N/A	N/A	3	9		1.3	Fix Bug in Registration Logic		Fixed a bug in logic that checked your registration code. If the first digit after the last dash was a zero, then the registration check would fail.		N/A	0	-1	-1	 	Action	0	 	 	<a href='tags/bug-fix.html' rel='tag'>Bug Fix</a>
Bug Fix	Bug Fix					11/30/2003	00:00 AM	N/A	N/A	3	9		1.3	Fixed Late Flag Bug		Fixed a bug that caused the late flag to be inaccurate, especially on the last day of the month.		N/A	0	-1	-1	2003-11-30	Action	0	 	 	<a href='tags/bug-fix.html' rel='tag'>Bug Fix</a>
Minor Enhancement	Minor Enhancement					11/30/2003	00:00 AM	N/A	N/A	3	9		1.3	Reconfigured the Date Panel		Reconfigured the layout of date fields on the Item Tab to make them easier to use and more intuitive.		N/A	0	-1	-1	2003-11-30	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
Bug Fix	Bug Fix					12/08/2003	00:00 AM	N/A	N/A	1	9		1.3	Purify CRs, LFs and Tabs		Corrected bug that allowed carriage returns, line feeds and tab characters to be entered in text fields, but then misinterpreted these characters when a file was re-opened, causing fields to be misaligned, effectively corrupting the data file.		N/A	0	-1	-1	2003-12-08	Action	0	 	 	<a href='tags/bug-fix.html' rel='tag'>Bug Fix</a>
New Feature	New Feature					 	00:00 AM	N/A	N/A	2	0			Change Log	Add a change log that would allow the user to recover deleted records, etc.			N/A	0	-1	-1	 	Action	0	 	 	<a href='tags/new-feature.html' rel='tag'>New Feature</a>
